PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-05-26,18:02:35.69,1,1,"Weston, Travis",1000024904,Left,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.77028,-1.342191,2.074015,2043.70502,130.020901,10:15,5.87839,-1.9724,5.40599,-23.8373,17.11847,-18.67603,2.63328,-1.58456,75.93293,-5.806604,-1.247345,0.460605,,,,,,,,,,,,9.99327,9.42713,1.80108,50,5.74256,-3.59914,-121.40154,-3.6022,14.77187,25.88202,-18.23903,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,2a4ed9b0-fc2a-11ed-a9f6-11b62def9100,81.8324,,,7.83735,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:02:35.69,2023-05-26T18:02:35.6998850-07:00,2023-05-27T01:02:35.6998850Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,a5210a53-fd22-44b0-a71c-991e9685b94b,55.09283,-122.48248,12.94101,5.8771,-2.84046,-9.11951,1.96427,-4.21608,7.38594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-05-26,18:02:47.93,1,2,"Weston, Travis",1000024904,Left,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.91469,0.013995,2.421379,1614.56438,110.005795,9:45,5.79302,-2.02467,5.39728,-39.51782,8.94067,-20.04729,2.513,-1.42474,70.09442,-7.258254,-1.144368,0.501022,,,,,,,,,,,,10.7615,4.9837,1.823,50,5.76683,-3.92984,-111.51759,-1.2402,13.45897,21.33839,-25.94115,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,31a16480-fc2a-11ed-a9f6-11b62def9100,75.23116,,,6.82026,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:02:47.93,2023-05-26T18:02:47.9342274-07:00,2023-05-27T01:02:47.9342274Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,7fc83e87-083b-45bd-9b45-afa043838e45,55.10254,-112.4897,10.6692,5.79641,-0.0584,-12.97058,2.016,-4.54299,6.72949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-05-26,18:03:01.16,1,3,"Weston, Travis",1000024904,Left,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.60689,-1.725175,2.652445,2204.989843,126.887269,10:15,5.79345,-1.96925,5.51182,-24.03926,16.06662,-19.49446,2.17467,-1.11159,76.56319,-6.230573,-0.820069,0.455801,,,,,,,,,,,,10.58776,9.04985,1.75096,50,5.62703,-4.83603,-122.53439,-4.45635,15.91616,26.75953,-18.56978,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,3978afb0-fc2a-11ed-a9f6-11b62def9100,82.6949,,,8.04371,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:03:01.16,2023-05-26T18:03:01.1680962-07:00,2023-05-27T01:03:01.1680962Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,b532e7fa-3fde-459e-b0bc-6e3de0e8f900,54.98631,-123.61853,13.37977,5.79234,-3.70401,-9.28489,1.95995,-5.48085,7.95808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-05-26,18:03:13.40,1,4,"Weston, Travis",1000024904,Left,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.03506,-1.442933,3.113439,1684.66481,105.20226,9:30,5.76878,-1.96659,5.51238,-41.42498,6.71634,-18.71505,0.96508,-0.61183,70.49762,-9.032299,-0.223997,0.499379,,,,,,,,,,,,10.43489,4.27303,1.70804,50,5.61492,-5.36762,-111.64624,-4.13215,13.08203,21.36707,-26.817,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,40cee400-fc2a-11ed-a9f6-11b62def9100,75.47859,,,6.53745,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:03:13.40,2023-05-26T18:03:13.4083266-07:00,2023-05-27T01:03:13.4083266Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,fc670a37-1c48-4fef-81c2-39e6292ae27a,54.98916,-112.59703,10.68354,5.77224,-2.93886,-13.4085,1.95984,-5.94974,6.54102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-05-26,18:03:27.51,1,5,"Weston, Travis",1000024904,Left,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.49975,-1.198717,2.18523,1705.104682,110.583322,9:45,5.79959,-2.0897,5.24407,-39.61384,8.6254,-18.41588,1.37088,-1.56964,70.49343,-8.455737,-1.08429,0.499887,,,,,,,,,,,,9.87359,5.18784,1.90307,50,5.6603,-3.54719,-112.27205,-3.65891,12.45579,22.53568,-25.62947,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,493a58e0-fc2a-11ed-a9f6-11b62def9100,75.40196,,,7.00632,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:03:27.51,2023-05-26T18:03:27.5181762-07:00,2023-05-27T01:03:27.5181762Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,979c6f58-ee5f-4c7b-9660-545ef2358a67,55.25519,-113.32199,11.26784,5.80296,-2.46484,-12.81473,2.08185,-4.1275,6.22789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-05-26,18:03:40.53,1,6,"Weston, Travis",1000024904,Left,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,3,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,76.92096,-0.561715,2.796854,1757.144377,106.127265,9:30,5.80948,-2.06654,5.26745,-40.85994,7.90528,-21.53533,1.87616,-1.23167,70.12467,-8.045278,-1.026297,0.502605,80.52994,21.042215,-2.535954,2537.52153,109.97938,33.12011,-2.09942,274.45064,267.48434,-0.837724,3.428975,11.66162,4.59697,1.82725,50,5.72809,-4.60536,-111.47652,-2.43167,14.55356,21.58267,-26.43709,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,50fbf930-fc2a-11ed-a9f6-11b62def9100,74.99423,36.44423,,6.79629,,,,1.99446,1.98442,1.2088,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:03:40.53,2023-05-26T18:03:40.5312194-07:00,2023-05-27T01:03:40.5312194Z,LineDrive,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,753fde45-5757-4b53-be59-837a4737c6ce,55.23368,-112.48523,10.79134,5.81287,-1.19607,-13.21855,2.05839,-5.28556,7.27678,191.098643,1.99399,110.14275,-16.21572,3.73394,-0.9119,0.2732,-0.07757,0.01385,-0.00103,1.98521,42.38109,-13.10178,-0.3069,0.45449,-0.2535,0.08794,-0.01563,0.00108,1.20891,-4.88129,2.5051,-0.89178,0.21533,-0.03421,0.00347,-0.00026,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2023-05-26,18:04:25.72,2,1,"Weston, Travis",1000024904,Left,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,1,0,0,Fastball,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.72087,-2.000405,3.398762,2195.999557,130.69905,10:15,5.89458,-1.95572,5.55035,-23.32226,18.01714,-19.07383,2.07768,-0.36543,75.05712,-6.409844,0.002226,0.462757,,,,,,,,,,,,10.80036,10.23477,1.67438,50,5.70626,-6.39005,-121.05181,-4.93987,15.68598,28.3025,-17.30952,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,6be5c640-fc2a-11ed-a9f6-11b62def9100,81.45182,,,8.66375,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:04:25.72,2023-05-26T18:04:25.7265858-07:00,2023-05-27T01:04:25.7265858Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,4161ccde-50d5-495c-b06c-e97140fbd880,54.9478,-122.20315,14.15125,5.89289,-4.23572,-8.65476,1.9473,-7.02815,7.84299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-05-26,18:04:41.06,2,2,"Weston, Travis",1000024904,Left,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.05619,-1.739429,5.053634,1683.041606,108.972551,9:45,5.75288,-1.85867,5.47944,-39.92829,8.39335,-19.63371,0.79107,1.24622,70.51472,-9.05066,1.568028,0.500314,,,,,,,,,,,,11.5032,5.16996,1.42826,50,5.57229,-9.12222,-111.41916,-4.65596,14.38983,20.93016,-25.7067,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,750e70a0-fc2a-11ed-a9f6-11b62def9100,75.33763,,,6.54148,,,,,,,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:04:41.06,2023-05-26T18:04:41.0628290-07:00,2023-05-27T01:04:41.0628290Z,,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,8bdc81f3-17dd-4fb9-b7e4-2144bafd56c8,55.02307,-112.35879,10.46508,5.75541,-3.5019,-12.85335,1.85229,-9.76823,7.19491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-05-26,18:04:57.58,2,3,"Weston, Travis",1000024904,Left,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,77.59919,-1.112845,3.992873,1760.880627,118.92783,10:00,5.74982,-1.94329,5.70384,-35.58738,12.00308,-18.5317,1.74461,0.23896,70.15082,-7.73121,0.684595,0.496514,70.11405,-18.814929,60.074822,,,,,7.27693,6.98021,34.820619,0.054608,10.77654,6.94851,1.62,50,5.63436,-7.14482,-112.2875,-3.25194,13.53987,23.35098,-23.44377,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,7ee646c0-fc2a-11ed-a9f6-11b62def9100,75.91417,1.81571,,7.44837,,,,3.31545,1.81571,-0.46338,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:04:57.58,2023-05-26T18:04:57.5830210-07:00,2023-05-27T01:04:57.5830210Z,GroundBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,4f53a080-88bb-4761-8572-b456dff4e91d,54.79612,-113.28049,11.67549,5.75145,-2.255,-11.72188,1.93607,-7.72059,6.76994,180,3.31436,48.68353,,,,,,,,1.81645,-33.25,,,,,,,,-0.46527,84.57722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2023-05-26,18:05:18.85,2,4,"Weston, Travis",1000024904,Left,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,77.24135,-0.49458,4.287094,1722.683444,99.103688,9:15,5.6729,-2.03323,5.59835,-43.95365,5.18366,-19.34871,1.54704,0.36444,68.69179,-8.639823,0.839131,0.504519,55.38991,-46.794627,57.930314,,,,,4.30211,3.30274,15.242371,0.033852,11.48453,3.34445,1.67837,50,5.60226,-7.61812,-111.52032,-2.34149,13.95669,26.59084,-28.10969,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230526-BaggettStadium-1,8b990240-fc2a-11ed-a9f6-11b62def9100,74.70971,2.01408,,8.54956,,,,3.14637,2.01408,-0.472,918fe8f1-a976-487b-8d7b-243bb2906134,2023-05-27,01:05:18.85,2023-05-26T18:05:18.8566722-07:00,2023-05-27T01:05:18.8566722Z,GroundBall,v3,471251,471254,26 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,302a7c5b-be93-4182-bb81-67c34c46216b,54.89983,-112.68257,13.29542,5.67776,-1.11284,-14.05485,2.02468,-8.22815,6.97835,,3.14561,29.67057,,,,,,,,2.01562,-59.49711,,,,,,,,-0.47322,47.35458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
